           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell,  km_no_buy, km_no_menu, km_mons_dissec, km_continue_count, 
791 : breed_028_normal_003,        792,        792,         14,         56,      32802,      18850,        189,          0,          0,          0,          0,        100, 
792 : breed_028_normal_004,        793,        793,         14,         56,      32803,      23200,        232,          0,          0,          0,          0,        100, 
793 : breed_028_normal_005,        794,        794,         14,         56,      32804,      63800,        638,          0,          0,          0,          0,        100, 
794 : breed_028_normal_006,        795,        795,         14,         56,      32805,      81200,        812,          0,          0,          0,          0,        100, 
795 : breed_028_uniq_001,        796,        796,         14,         56,      32850,      34800,        348,          0,          0,          0,          0,        100, 
796 : breed_028_uniq_002,        797,        797,         14,         56,      32851,      46400,        464,          0,          0,          0,          0,        100, 
797 : breed_028_uniq_003,        798,        798,         14,         56,      32852,      52200,        522,          0,          0,          0,          0,        100, 
798 : breed_029_normal_001,        799,        799,         14,         56,      32900,        920,          9,          0,          0,          0,          0,        100, 
799 : breed_029_normal_003,        800,        800,         14,         56,      32902,       1035,         10,          0,          0,          0,          0,        100, 
800 : breed_029_normal_005,        801,        801,         14,         56,      32904,       5060,         51,          0,          0,          0,          0,        100, 
801 : breed_029_normal_006,        802,        802,         14,         56,      32905,       6440,         64,          0,          0,          0,          0,        100, 
802 : breed_029_uniq_001,        803,        803,         14,         56,      32950,       3680,         37,          0,          0,          0,          1,        100, 
803 : MB8010_normal_001,        804,        804,         14,         56,      33000,      29400,        294,          0,          0,          0,          0,        100, 
804 : MB8010_normal_002,        805,        805,         14,         56,      33001,      29820,        298,          0,          0,          0,          1,        100, 
805 : MB8010_normal_003,        806,        806,         14,         56,      33002,      31500,        315,          0,          0,          0,          1,        100, 
806 : MB8010_normal_004,        807,        807,         14,         56,      33003,      33600,        336,          0,          0,          0,          0,        100, 
807 : MB8010_normal_005,        808,        808,         14,         56,      33004,      96600,        966,          0,          0,          0,          0,        100, 
808 : MB8010_normal_006,        809,        809,         14,         56,      33005,     117600,       1176,          0,          0,          0,          0,        100, 
809 : MB8010_uniq_001,        810,        810,         14,         56,      33006,      67200,        672,          0,          0,          0,          1,        100, 
810 : MB8020_uniq_001,        811,        811,         14,         56,      33007,      71400,        714,          0,          0,          0,          0,        100, 
811 : MA0010_normal_001,        812,        812,         15,         57,      33200,     640000,       6400,          0,          0,          0,          0,        100, 
812 : MA0010_uniq_001,        813,        813,         15,         57,      33250,     900000,       9000,          0,          0,          0,          0,        100, 
813 : MH0010_normal_001,        814,        814,         15,         57,      33201,     480000,       4800,          0,          0,          0,          0,        100, 
814 : MH0010_uniq_001,        815,        815,         15,         57,      33251,     900000,       9000,          0,          0,          0,          0,        100, 
815 : MB1010_normal_001,        816,        816,         15,         57,      33202,     320000,       3200,          0,          0,          0,          0,        100, 
816 : MB1010_uniq_001,        817,        817,         15,         57,      33252,     900000,       9000,          0,          0,          0,          0,        100, 
817 : MB2010_normal_001,        818,        818,         15,         57,      33603,     480000,       4800,          0,          0,          0,          0,        100, 
818 : MB2010_uniq_001,        819,        819,         15,         57,      33653,     800000,       8000,          0,          0,          0,          0,        100, 
819 : MB0010_normal_001,        820,        820,         15,         57,      33600,     120000,       1200,          0,          0,          0,          0,        100, 
820 : MB0010_uniq_001,        821,        821,         15,         57,      33650,     800000,       8000,          0,          0,          0,          0,        100, 
821 : MB3010_normal_001,        822,        822,         15,         57,      33601,     540000,       5400,          0,          0,          0,          0,        100, 
822 : MB3010_uniq_001,        823,        823,         15,         57,      33651,     800000,       8000,          0,          0,          0,          0,        100, 
823 : MB4010_normal_001,        824,        824,         15,         57,      33602,     480000,       4800,          0,          0,          0,          0,        100, 
824 : MB4010_uniq_001,        825,        825,         15,         57,      33652,     800000,       8000,          0,          0,          0,          0,        100, 
825 : MB7010_uniq_001,        826,        826,         15,         57,      34050,     999999,      10000,          0,          0,          0,          0,        100, 
826 : CD0060_uniq_001,        827,        827,         15,         57,      34150,     700000,       7000,          0,          0,          0,          0,        100, 
827 : MO3010_uniq_001,        828,        828,         15,         57,      34250,     700000,       7000,          0,          0,          0,          0,        100, 
828 : CF0060_uniq_001,        829,        829,         15,         57,      34350,     700000,       7000,          0,          0,          0,          0,        100, 
829 : CB0240_uniq_001,        830,        830,         15,         57,      34550,     700000,       7000,          0,          0,          0,          0,        100, 
830 : CA0260_uniq_001,        831,        831,         15,         57,      34650,     700000,       7000,          0,          0,          0,          0,        100, 
831 : CB0250_uniq_001,        832,        832,         15,         57,      34750,     700000,       7000,          0,          0,          0,          0,        100, 
832 : CC0250_uniq_001,        833,        833,         15,         57,      34850,     700000,       7000,          0,          0,          0,          0,        100, 

