           km_,   km_chara,   km_param, km_party_lock, km_party_guest, km_not_reserve, km_sort_id, km_chara_class, km_base_lv, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_eq_accessories_sp, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise,   km_money,  km_item_1, km_item_1_num,  km_item_2, km_item_2_num,  km_item_3, km_item_3_num,  km_item_4, km_item_4_num,  km_item_5, km_item_5_num,  km_item_6, km_item_6_num,  km_item_7, km_item_7_num,  km_item_8, km_item_8_num, km_aim_weapon, km_aim_accessory_01, km_aim_accessory_02, km_open_heikin, km_open_phy, km_open_mgc, km_end_of_the_rainbow, km_lootmes, km_ptalk_count, km_ptalk_mes, 
362 : btl_free_npc,        503,        362,          0,          0,          0,      10204,        335,         65,        202,         22,          3,         25,         18,         15,        113,         40,         70,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         69,         98,        165,        627,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      14060,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        639,        204,        207,          1,          0,          0,         18,         34,         41,         47, 
363 : btl_free_npc_044,        504,        363,          0,          0,          0,      10205,        335,         75,        189,         18,          3,         26,         20,         19,        113,         40,         70,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          5,         10,         20,          5,         10,         10,         20,          5,         69,         98,        165,        895,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      14340,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        897,        204,        207,          1,          0,          0,         19,         34,         41,         47, 
364 : btl_free_npc,        505,        364,          0,          0,          0,      10206,        335,         80,        210,         21,          3,         24,         24,         17,        113,         40,         70,          0,          2,         56,        110,         11,         65,        119,         20,         74,        128,         32,         86,        140,         41,         95,        149,         50,        104,        158,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,          5,          5,          5,         10,         10,         20,          5,         69,         98,        165,        906,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      12040,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        900,        204,        207,          1,          0,          0,         11,         34,         41,         47, 
365 : pt_set_ev01_01,        150,        365,          0,          0,          0,       1000,        265,          3,        123,         21,          3,         25,         16,         17,          0,         15,         44,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,          0,         98,        165,         98,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        680,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
366 : pt_set_ev01_02,        151,        366,          0,          0,          0,       1001,        266,          3,        154,         20,          3,         23,         20,         20,          0,         24,         61,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,          0,         98,        207,        170,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        320,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
367 : pt_set_ev01_03,        152,        367,          0,          0,          0,       1002,        268,          3,        144,         18,          3,         19,         26,         15,          0,         14,         48,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        139,        165,        821,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        740,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
368 : pt_set_ev01_04,        153,        368,          0,          0,          0,       1003,        268,          3,        140,         19,          3,         17,         23,         15,          0,         25,         47,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        139,        165,        784,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        330,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
369 : pt_set_ev01_05,        154,        369,          0,          0,          0,       1004,        265,          3,        148,         18,          3,         22,         18,         15,          0,         13,         38,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,          0,         98,        165,         98,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        540,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
370 : pt_set_ev01_06,        155,        370,          0,          0,          0,       1005,        268,          3,        157,         27,          4,         16,         23,         18,          0,         17,         65,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        151,        165,        784,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        470,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
371 : pt_set_ev01_07,        156,        371,          0,          0,          0,       1006,        266,          3,        166,         24,          4,         26,         20,         17,          0,         12,         57,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,          0,         98,        207,         98,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        540,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
372 : pt_set_ev01_08,        157,        372,          0,          0,          0,       1007,        268,          3,        138,         24,          4,         17,         26,         15,          0,         24,         40,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        139,        165,        821,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        670,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
373 : pt_set_ev01_09,        158,        373,          0,          0,          0,       1008,        266,          3,        174,         18,          3,         21,         15,         17,          0,         16,         62,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,          0,         98,        207,        170,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        380,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
374 : pt_set_ev01,        159,        374,          0,          0,          0,       1009,        268,          3,        177,         18,          3,         15,         26,         16,          0,         23,         68,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        139,        165,        784,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        700,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
375 : pt_set_ev01,        160,        375,          0,          0,          0,       1010,        268,          3,        130,         18,          3,         15,         26,         17,          0,         20,         48,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        151,        165,        821,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        330,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
376 : pt_set_ev01,        161,        376,          0,          0,          0,       1011,        265,          3,        148,         22,          3,         22,         14,         17,          0,         25,         63,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,          0,         98,        207,         98,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        730,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
377 : pt_set_ev01,        162,        377,          0,          0,          0,       1012,        266,          3,        174,         18,          3,         26,         14,         14,          0,         23,         62,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,          0,         98,        165,        170,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        440,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
378 : pt_set_ev03_01,        163,        378,          0,          0,          0,       1013,        267,          3,        188,         27,          4,         23,         19,         15,         86,         13,         44,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        207,        281,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        360,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
379 : pt_set_ev03_02,        164,        379,          0,          0,          0,       1014,        267,          3,        169,         22,          3,         23,         15,         17,         70,         10,         68,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         42,         98,        207,        170,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        730,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
380 : pt_set_ev04_01,        165,        380,          0,          0,          0,       1015,        268,          3,        196,         26,          4,         21,         23,         18,         74,         22,         44,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        139,        207,         98,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        400,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
381 : pt_set_ev04_02,        166,        381,          0,          0,          0,       1016,        269,          3,        146,         22,          3,         20,         25,         24,        154,         18,         32,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        143,        207,        784,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        530,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
382 : pt_set_ev05_01,        167,        382,          0,          0,          0,       1017,        266,          5,        156,         22,          3,         25,         15,         16,         91,         22,         44,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        165,         99,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        610,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
383 : pt_set_ev05_02,        168,        383,          0,          0,          0,       1018,        268,          5,        150,         19,          3,         20,         26,         16,         33,         15,         36,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        139,        165,        673,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        350,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
384 : pt_set_ev05_03,        169,        384,          0,          0,          0,       1019,        266,          5,        195,         18,          3,         23,         19,         17,        127,         23,         33,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,          0,         98,        207,        171,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        580,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
385 : pt_set_ev05_04,        170,        385,          0,          0,          0,       1020,        268,          5,        182,         25,          4,         15,         26,         16,         38,         16,         52,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        151,        165,        785,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        270,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
386 : pt_set_ev05_05,        171,        386,          0,          0,          0,       1021,        267,          5,        175,         27,          4,         23,         14,         19,         85,         24,         47,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        165,        282,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        610,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
387 : pt_set_EV0310_01,        172,        387,          0,          0,          0,       1022,        269,          5,        163,         21,          3,         17,         26,         16,         36,         18,         40,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        151,        165,        822,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        310,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
388 : pt_set_EV0310_02,        173,        388,          0,          0,          0,       1023,        267,          5,        192,         24,          4,         25,         17,         17,         76,         20,         33,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        207,        282,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        270,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
389 : pt_set_EV0310_03,        174,        389,          0,          0,          0,       1024,        266,          5,        162,         18,          3,         26,         18,         17,         52,         17,         64,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         42,         98,        207,        323,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        690,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
390 : pt_set_EV0310_04,        175,        390,          0,          0,          0,       1025,        269,          5,        196,         19,          3,         15,         25,         19,         56,         20,         58,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        151,        165,        652,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        410,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
391 : pt_set_EV0310_05,        176,        391,          0,          0,          0,       1026,        266,          5,        150,         22,          3,         25,         15,         15,         42,         14,         67,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        207,        282,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        740,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
392 : pt_set_EV0720_01,        177,        392,          0,          0,          0,       1027,        273,          6,        156,         23,          3,         25,         14,         15,          2,         14,         59,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         42,         98,        207,         99,          0,          0,         -1,         -1,         -1,         -1,         -1,        878,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,        560,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
393 : pt_set_EV0720_02,        178,        393,          0,          0,          0,       1028,        275,          6,        151,         26,          4,         20,         25,         14,          1,         17,         69,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        151,        211,        822,          0,          3,         -1,         -1,         -1,         -1,         -1,        878,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       1340,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,         -1,         -1,          0,          0,          0,          0,         -1,         -1,         -1, 
