           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,   km_item1,    km_num1,   km_odds1,   km_item2,    km_num2,   km_odds2,   km_item3,    km_num3,   km_odds3,   km_item4,    km_num4,   km_odds4, km_sozai_type1, km_sozai_type2, km_sozai_type3, km_sozai_type4, km_sozai_type5, km_sozai_type6, km_sozai_type7, km_sozai_type8, 
350 : mons_ML1010_NM_001,        351,        351,         16,         61,       3510,      21970,       9990,          0,          0,    9044738,          4,         50,    9044466,          4,         50,    9044742,          1,         10,    9044172,          1,          5,          5,          0,          3,          0,          0,          0,          3,          2, 
351 : mons_ML1010_NM_002,        352,        352,         16,         61,       3511,     131850,      59930,          0,          0,    9044414,          2,         30,    9044493,          2,         30,    9044179,          1,          5,    9044184,          1,          3,          5,          0,          3,          0,          0,          0,          3,          2, 
352 : mons_ML1010_NM_003,        353,        353,         16,         61,       3512,      88700,      40320,          0,          0,    9044484,          4,         50,    9044413,          4,         50,    9044410,          2,         30,    9044178,          1,          5,          5,          0,          3,          0,          0,          0,          3,          2, 
353 : mons_ML1010_NM_004,        354,        354,         16,         61,       3513,      88700,      40320,          0,          0,    9044484,          4,         50,    9044413,          4,         50,    9044410,          2,         30,    9044178,          1,          5,          5,          0,          3,          0,          0,          0,          3,          2, 
354 : mons_ML1010_NM_005,        355,        355,         16,         61,       3514,      83060,      37750,          0,          0,    9044493,          3,         40,    9044414,          3,         40,    9044361,          1,         10,    9044187,          1,          5,          5,          0,          3,          0,          0,          0,          3,          2, 
355 : mons_ML1010_NM_006,        356,        356,         16,         61,       3515,      84670,      38490,          0,          0,    9044250,          2,         30,    9044744,          2,         30,    9044403,          1,         20,    9044190,          1,         20,          5,          0,          3,          0,          0,          0,          3,          2, 
356 : mons_ML1010_NM_007,        357,        357,         16,         61,       3516,     164510,      74780,          0,          0,    9044493,          3,         40,    9044361,          1,         10,    9044744,          1,         20,    9044187,          1,          5,          5,          0,          3,          0,          0,          0,          3,          2, 
357 : mons_ML1010_NM_008,        358,        358,         16,         61,       3517,      51910,      23600,          0,          0,    9044484,          3,         40,    9044363,          3,         40,    9044493,          1,         20,    9044177,          1,          5,          5,          0,          3,          0,          0,          0,          3,          2, 
358 : mons_MM0010_100_clr0,        359,        359,         16,         61,       3600,      14400,       6545,          0,          0,    9044746,          3,         40,    9044440,          3,         40,    9044481,          2,         30,    9044751,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
359 : mons_MM0010_100_clr1,        360,        360,         16,         61,       3601,      17280,       7855,          0,          0,    9044440,          3,         40,    9044745,          3,         40,    9044481,          2,         30,    9044752,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
360 : mons_MM0010_100_clr2,        361,        361,         16,         61,       3602,      32760,      14891,          0,          0,    9044454,          3,         40,    9044747,          2,         30,    9044748,          1,         10,    9044753,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
361 : mons_MM0012_150_clr0,        362,        362,         16,         61,       3606,      21600,       9818,          0,          0,    9044417,          3,         40,    9044481,          3,         40,    9044747,          1,         20,    9044754,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
362 : mons_MM0012_150_clr1,        363,        363,         16,         61,       3607,      21600,       9818,          0,          0,    9044463,          4,         50,    9044746,          4,         50,    9044481,          3,         40,    9044755,          1,         10,          1,          1,          0,          0,          0,          1,          0,          0, 
363 : mons_MM0012_150_clr2,        364,        364,         16,         61,       3608,      43200,      19636,          0,          0,    9044490,          4,         50,    9044472,          3,         40,    9044748,          1,         20,    9044756,          1,         20,          1,          1,          0,          0,          0,          1,          0,          0, 
364 : mons_MM0010_NM_001,        365,        365,         16,         61,       3610,     148320,      67420,          0,          0,    9044745,          4,         50,    9044417,          3,         40,    9044481,          4,         50,    9044180,          1,          5,          8,          3,          0,          0,          0,          3,          0,          5, 
365 : mons_MM0010_NM_002,        366,        366,         16,         61,       3611,      62210,      28280,          0,          0,    9044379,          4,         50,    9044400,          3,         40,    9044751,          1,         10,    9044172,          1,          5,          8,          3,          0,          0,          0,          3,          0,          5, 
366 : mons_MM0010_NM_003,        367,        367,         16,         61,       3612,     228100,     103680,          0,          0,    9044490,          4,         50,    9044748,          1,         20,    9044472,          1,         20,    9044188,          1,          5,          8,          3,          0,          0,          0,          3,          0,          5, 
367 : mons_MM0010_NM_004,        368,        368,         16,         61,       3613,      60480,      27490,          0,          0,    9044379,          4,         50,    9044400,          3,         40,    9044752,          1,         10,    9044172,          1,          5,          8,          3,          0,          0,          0,          3,          0,          5, 
368 : mons_MM0010_NM_005,        369,        369,         16,         61,       3614,      30820,      14010,          0,          0,    9044379,          4,         50,    9044400,          3,         40,    9044745,          2,         30,    9044170,          1,          5,          8,          3,          0,          0,          0,          3,          0,          5, 
369 : mons_MM0010_NM_006,        370,        370,         16,         61,       3615,     251140,     114150,          0,          0,    9044490,          4,         50,    9044472,          1,         20,    9044753,          1,         20,    9044188,          1,          5,          8,          3,          0,          0,          0,          3,          0,          5, 
370 : mons_MM0010_NM_007,        371,        371,         16,         61,       3616,     146880,      66760,          0,          0,    9044746,          4,         50,    9044417,          3,         40,    9044481,          4,         50,    9044178,          1,          5,          8,          3,          0,          0,          0,          3,          0,          5, 
371 : mons_MM0010_NM_008,        372,        372,         16,         61,       3617,     246530,     112060,          0,          0,    9044275,          2,         30,    9044756,          2,         30,    9044378,          1,         20,    9044189,          1,         20,          8,          3,          0,          0,          0,          3,          0,          5, 
372 : mons_MN0020_100_clr0,        373,        373,         16,         61,       3700,       3200,       1455,          0,          0,    9044757,          3,         40,    9044758,          3,         40,    9044450,          3,         40,    9044400,          2,         30,          1,          0,          0,          1,          0,          0,          1,          0, 
373 : mons_MN0020_100_clr1,        374,        374,         16,         61,       3701,       9600,       4364,          0,          0,    9044757,          4,         50,    9044401,          3,         40,    9044759,          2,         30,    9044410,          2,         30,          1,          0,          0,          1,          0,          0,          1,          0, 
374 : mons_MN0020_100_clr2,        375,        375,         16,         61,       3702,      12480,       5673,          0,          0,    9044410,          2,         30,    9044759,          2,         30,    9044385,          3,         40,    9044405,          1,         20,          1,          0,          0,          1,          0,          0,          1,          0, 
375 : mons_MN0020_NM_001,        376,        376,         16,         61,       3710,      42240,      19200,          0,          0,    9044400,          4,         50,    9044425,          3,         40,    9044759,          2,         30,    9044174,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
376 : mons_MN0020_NM_002,        377,        377,         16,         61,       3711,      82940,      37700,          0,          0,    9044385,          4,         50,    9044759,          3,         40,    9044405,          2,         30,    9044183,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
377 : mons_MN0020_NM_003,        378,        378,         16,         61,       3712,      92290,      41950,          0,          0,    9044405,          3,         40,    9044759,          3,         40,    9044186,          1,          5,    9044187,          1,          3,          3,          0,          0,          3,          0,          0,          3,          1, 
378 : mons_MN0020_NM_004,        379,        379,         16,         61,       3713,      82940,      37700,          0,          0,    9044385,          4,         50,    9044759,          3,         40,    9044405,          2,         30,    9044180,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
379 : mons_MN0020_NM_005,        380,        380,         16,         61,       3714,      39170,      17800,          0,          0,    9044410,          3,         40,    9044759,          3,         40,    9044405,          2,         30,    9044187,          1,          5,          2,          0,          0,          2,          0,          0,          2,          1, 
380 : mons_MN0020_NM_006,        381,        381,         16,         61,       3715,     102400,      46550,          0,          0,    9044250,          2,         30,    9044361,          2,         30,    9044403,          1,         20,    9044189,          1,         20,          3,          0,          0,          3,          0,          0,          3,          1, 
381 : mons_MN0020_NM_007,        382,        382,         16,         61,       3716,      76800,      34910,          0,          0,    9044410,          3,         40,    9044405,          2,         30,    9044180,          1,          5,    9044184,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
382 : mons_MN0020_NM_008,        383,        383,         16,         61,       3717,      25340,      11520,          0,          0,    9044757,          4,         50,    9044450,          4,         50,    9044425,          3,         40,    9044171,          1,          5,          3,          0,          0,          3,          0,          0,          3,          1, 
383 : mons_CF0670_100_clr0,        384,        384,         16,         61,       3800,        600,        273,          0,          0,    9044404,          3,         40,    9044450,          3,         40,    9044766,          3,         40,    9044770,          1,          3,          1,          0,          1,          0,          0,          1,          0,          0, 
384 : mons_CF0670_NM_001,        385,        385,         16,         61,       3802,       9790,       4450,          0,          0,    9044425,          4,         50,    9044414,          2,         30,    9044770,          1,         10,    9044181,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
385 : mons_CF0670_NM_002,        386,        386,         16,         61,       3803,       3420,       1550,          0,          0,    9044766,          4,         50,    9044385,          3,         40,    9044770,          1,         10,    9044173,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
386 : mons_CF0670_NM_003,        387,        387,         16,         61,       3804,       6590,       3000,          0,          0,    9044413,          4,         50,    9044385,          3,         40,    9044770,          1,         10,    9044175,          1,          5,          3,          0,          3,          0,          0,          3,          0,          1, 
387 : mons_CF0670_NM_004,        388,        388,         16,         61,       3805,       1760,        800,          0,          0,    9044450,          4,         50,    9044766,          3,         40,    9044401,          3,         40,    9044169,          1,          5,          2,          0,          2,          0,          0,          2,          0,          1, 
388 : mons_MB8010_100_clr0,        389,        389,         16,         61,       3900,      12480,       5673,          0,          0,    9044474,          3,         40,    9044773,          2,         30,    9044774,          1,         10,    9044777,          1,         10,          1,          1,          0,          0,          0,          1,          1,          0, 
389 : mons_MB8010_NM_001,        390,        390,         16,         61,       3902,     119970,      54530,          0,          0,    9044474,          3,         40,    9044773,          3,         40,    9044777,          1,         20,    9044185,          1,          5,          3,          3,          0,          0,          0,          3,          3,          1, 
390 : mons_MB8010_NM_002,        391,        391,         16,         61,       3903,      83064,      37760,          0,          0,    9044250,          2,         30,    9044403,          2,         30,    9044378,          1,         20,    9044190,          1,         20,          3,          3,          0,          0,          0,          3,          3,          1, 
391 : mons_MB8020_100_clr0,        392,        392,         16,         61,       4000,      14560,       6618,          0,          0,    9044772,          3,         40,    9044773,          2,         30,    9044774,          1,         10,    9044188,          1,          5,          1,          1,          0,          0,          0,          1,          1,          0, 
392 : mons_MB8020_NM_001,        393,        393,         16,         61,       4002,     133120,      60510,          0,          0,    9044275,          2,         30,    9044378,          2,         30,    9044403,          1,         20,    9044189,          1,         20,          3,          3,          0,          0,          0,          3,          3,          1, 
393 : mons_MB8020_NM_002,        394,        394,         16,         61,       4003,      62320,      28330,          0,          0,    9044772,          4,         50,    9044773,          3,         40,    9044774,          1,         20,    9044184,          1,          5,          2,          2,          0,          0,          0,          2,          2,          1, 

