           km_,   km_namen,    km_help, km_namen_suffix, km_StrNo_SkeletalMesh, km_material_id, km_StrNo_AnimSet_b, km_StrNo_AnimTree_b, km_StrNo_AnimSet_f, km_StrNo_AnimTree_f, km_trax_battle_basic, km_StrNo_sp_staus_pkgname00, km_StrNo_sp_dead_pkgname00, km_StrNo_seb_move, km_StrNo_seb_effect, km_ja_inter, km_StrNo_seb_actorvoice, km_StrNo_voice_cue_prefix, km_btl_voice_chara, km_menu_voice_id, km_blood_type, km_build_id, km_variation_id,    km_df_h,    km_df_m,    km_df_l,    km_lodh, km_chara_hit, km_model_collision_x, km_model_collision_y, km_model_collision_z, km_chara_camera_hit, km_figure_camera_size, km_camera_hit_on, km_z_offset, km_mot_guard_type, km_mot_dead_type, km_mot_sidemove_type, km_ragdoll, km_mot_movespeed_walk, km_mot_movespeed_run, km_mot_movespeed_rev, km_global_breed_category, km_global_breed, km_multi_lockup, km_move_style, km_mode_vibration, km_move_speed_battle_w, km_move_speed_battle_r, km_face_id, km_emblem_id, km_emblem_mat,     km_sex, km_friend_type, km_collision_weight, km_hp_gauge_announce, km_use_shadow, km_model_no_hide, km_nikusitsu, km_shield_count, km_pop_offset, km_on_leader, 
1381 : EV1255_001_BTL_unit22,       1275,         -1,          1,      77789,          0,      77790,      77791,      77792,      77793,          0,      77794,      77795,      77796,      77797,          1,      77798,      77799,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        118,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1382 : EV1255_001_BTL_unit23,       1275,         -1,          1,      77800,          0,      77801,      77802,      77803,      77804,          0,      77805,      77806,      77807,      77808,          1,      77809,      77810,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        113,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1383 : EV1255_001_BTL_unit24,       1275,         -1,          1,      77811,          0,      77812,      77813,      77814,      77815,          0,      77816,      77817,      77818,      77819,          1,      77820,      77821,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        123,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1384 : EV1255_001_BTL_unit25,       1275,         -1,          1,      77822,          0,      77823,      77824,      77825,      77826,          0,      77827,      77828,      77829,      77830,          1,      77831,      77832,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        127,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1385 : EV1255_001_BTL_unit26,        875,         -1,         50,      77833,          0,      77834,      77835,      77836,      77837,          1,      77838,      77839,      77840,      77841,          0,      77842,      77843,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1019,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1386 : EV1255_001_BTL_unit27,        877,         -1,         50,      77844,          1,      77845,      77846,      77847,      77848,          1,      77849,      77850,      77851,      77852,          0,      77853,      77854,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1020,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1387 : EV1255_001_BTL_unit28,        878,         -1,         50,      77855,          2,      77856,      77857,      77858,      77859,          1,      77860,      77861,      77862,      77863,          0,      77864,      77865,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1021,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1388 : EV1265_001_BTL_unit01,        825,         -1,          2,      77866,          0,      77867,      77868,      77869,      77870,          1,      77871,      77872,      77873,      77874,          0,      77875,      77876,         57,          0,          4,          0,          0,          0,        400,        200,         20,          1,        100,        500,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         45,         -1,         47,          3,          0,          0,          2,          6,       1003,         -1,          0,          2,          0,      18000,          0,          0,          1,          1,          1,          1,          0, 
1389 : EV1280_001_BTL_unit01,        854,         -1,          2,      77877,          0,      77878,      77879,      77880,      77881,          1,      77882,      77883,      77884,      77885,          1,      77886,      77887,         74,          0,          4,          0,          0,          0,        400,        200,         20,          1,        125,        900,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         45,         -1,         47,          3,          0,          0,          2,          6,       1013,        104,          0,          2,          0,      24000,          0,          0,          1,          1,          1,          1,          0, 
1390 : EV1280_001_BTL_unit02,       1276,         -1,          1,      77888,          0,      77889,      77890,      77891,      77892,          0,      77893,      77894,      77895,      77896,          1,      77897,      77898,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         80,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1391 : EV1280_001_BTL_unit03,       1276,         -1,          1,      77899,          0,      77900,      77901,      77902,      77903,          0,      77904,      77905,      77906,      77907,          1,      77908,      77909,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         81,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1392 : EV1280_001_BTL_unit04,       1276,         -1,          1,      77910,          0,      77911,      77912,      77913,      77914,          0,      77915,      77916,      77917,      77918,          1,      77919,      77920,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         82,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1393 : EV1280_001_BTL_unit05,       1276,         -1,          1,      77921,          0,      77922,      77923,      77924,      77925,          0,      77926,      77927,      77928,      77929,          1,      77930,      77931,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         75,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1394 : EV1280_001_BTL_unit06,       1276,         -1,          1,      77932,          0,      77933,      77934,      77935,      77936,          0,      77937,      77938,      77939,      77940,          1,      77941,      77942,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         76,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1395 : EV1280_001_BTL_unit07,       1276,         -1,          1,      77943,          0,      77944,      77945,      77946,      77947,          0,      77948,      77949,      77950,      77951,          1,      77952,      77953,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         77,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1396 : EV1280_001_BTL_unit08,       1276,         -1,          1,      77954,          0,      77955,      77956,      77957,      77958,          0,      77959,      77960,      77961,      77962,          1,      77963,      77964,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         90,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1397 : EV1280_001_BTL_unit09,       1276,         -1,          1,      77965,          0,      77966,      77967,      77968,      77969,          0,      77970,      77971,      77972,      77973,          1,      77974,      77975,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         91,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1398 : EV1280_001_BTL_unit10,       1276,         -1,          1,      77976,          0,      77977,      77978,      77979,      77980,          0,      77981,      77982,      77983,      77984,          1,      77985,      77986,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         92,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1399 : EV1280_001_BTL_unit11,       1276,         -1,          1,      77987,          0,      77988,      77989,      77990,      77991,          0,      77992,      77993,      77994,      77995,          1,      77996,      77997,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         85,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1400 : EV1280_001_BTL_unit12,       1276,         -1,          1,      77998,          0,      77999,      78000,      78001,      78002,          0,      78003,      78004,      78005,      78006,          1,      78007,      78008,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         86,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1401 : EV1280_001_BTL_unit13,       1276,         -1,          1,      78009,          0,      78010,      78011,      78012,      78013,          0,      78014,      78015,      78016,      78017,          1,      78018,      78019,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         87,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1402 : EV1280_001_BTL_unit14,       1276,         -1,          1,      78020,          0,      78021,      78022,      78023,      78024,          0,      78025,      78026,      78027,      78028,          1,      78029,      78030,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         95,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1403 : EV1280_001_BTL_unit15,       1276,         -1,          1,      78031,          0,      78032,      78033,      78034,      78035,          0,      78036,      78037,      78038,      78039,          1,      78040,      78041,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         96,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1404 : EV1280_001_BTL_unit16,       1276,         -1,          1,      78042,          0,      78043,      78044,      78045,      78046,          0,      78047,      78048,      78049,      78050,          1,      78051,      78052,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         97,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1405 : EV1280_001_BTL_unit17,       1276,         -1,          1,      78053,          0,      78054,      78055,      78056,      78057,          0,      78058,      78059,      78060,      78061,          1,      78062,      78063,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         99,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1406 : EV1280_001_BTL_unit18,       1276,         -1,          1,      78064,          0,      78065,      78066,      78067,      78068,          0,      78069,      78070,      78071,      78072,          1,      78073,      78074,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        100,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1407 : EV1280_001_BTL_unit19,       1276,         -1,          1,      78075,          0,      78076,      78077,      78078,      78079,          0,      78080,      78081,      78082,      78083,          1,      78084,      78085,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        101,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1408 : EV1280_001_BTL_unit20,       1276,         -1,          1,      78086,          0,      78087,      78088,      78089,      78090,          0,      78091,      78092,      78093,      78094,          1,      78095,      78096,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        108,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1409 : EV1280_001_BTL_unit21,       1276,         -1,          1,      78097,          0,      78098,      78099,      78100,      78101,          0,      78102,      78103,      78104,      78105,          1,      78106,      78107,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        103,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1410 : EV1280_001_BTL_unit22,       1276,         -1,          1,      78108,          0,      78109,      78110,      78111,      78112,          0,      78113,      78114,      78115,      78116,          1,      78117,      78118,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        118,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1411 : EV1280_001_BTL_unit23,       1276,         -1,          1,      78119,          0,      78120,      78121,      78122,      78123,          0,      78124,      78125,      78126,      78127,          1,      78128,      78129,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        113,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1412 : EV1280_001_BTL_unit24,       1276,         -1,          1,      78130,          0,      78131,      78132,      78133,      78134,          0,      78135,      78136,      78137,      78138,          1,      78139,      78140,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        123,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1413 : EV1280_001_BTL_unit25,       1276,         -1,          1,      78141,          0,      78142,      78143,      78144,      78145,          0,      78146,      78147,      78148,      78149,          1,      78150,      78151,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        127,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1414 : EV1280_001_BTL_unit26,        875,         -1,         50,      78152,          0,      78153,      78154,      78155,      78156,          1,      78157,      78158,      78159,      78160,          0,      78161,      78162,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1019,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1415 : EV1280_001_BTL_unit27,        877,         -1,         50,      78163,          1,      78164,      78165,      78166,      78167,          1,      78168,      78169,      78170,      78171,          0,      78172,      78173,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1020,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1416 : EV1280_001_BTL_unit28,        878,         -1,         50,      78174,          2,      78175,      78176,      78177,      78178,          1,      78179,      78180,      78181,      78182,          0,      78183,      78184,         77,          0,          5,          0,          0,          0,        600,        200,         20,          1,         65,        200,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,         90,         15,         18,          1,          0,          0,          2,          6,       1021,         -1,          0,          2,          0,       2000,          0,          0,          0,          0,          1,          0,          0, 
1417 : EV1330_001_BTL_unit01,       1254,         -1,          2,      78185,          0,      78186,      78187,      78188,      78189,          1,      78190,      78191,      78192,      78193,          1,      78194,      78195,        106,          0,          2,          0,          0,          0,        600,        200,         20,          1,         45,        295,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          7,        270,         15,         46,          1,          0,          0,          2,          6,       1012,         -1,          0,          2,          0,       3400,          0,          0,          0,          1,          1,          1,          0, 
1418 : EV1420_001_BTL_unit01,       1277,         -1,          1,      78196,          0,      78197,      78198,      78199,      78200,          0,      78201,      78202,      78203,      78204,          1,      78205,      78206,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         80,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1419 : EV1420_001_BTL_unit02,       1277,         -1,          1,      78207,          0,      78208,      78209,      78210,      78211,          0,      78212,      78213,      78214,      78215,          1,      78216,      78217,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         81,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1420 : EV1420_001_BTL_unit03,       1277,         -1,          1,      78218,          0,      78219,      78220,      78221,      78222,          0,      78223,      78224,      78225,      78226,          1,      78227,      78228,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         82,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1421 : EV1420_001_BTL_unit04,       1277,         -1,          1,      78229,          0,      78230,      78231,      78232,      78233,          0,      78234,      78235,      78236,      78237,          1,      78238,      78239,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         75,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1422 : EV1420_001_BTL_unit05,       1277,         -1,          1,      78240,          0,      78241,      78242,      78243,      78244,          0,      78245,      78246,      78247,      78248,          1,      78249,      78250,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         76,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1423 : EV1420_001_BTL_unit06,       1277,         -1,          1,      78251,          0,      78252,      78253,      78254,      78255,          0,      78256,      78257,      78258,      78259,          1,      78260,      78261,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         77,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1424 : EV1420_001_BTL_unit07,       1277,         -1,          1,      78262,          0,      78263,      78264,      78265,      78266,          0,      78267,      78268,      78269,      78270,          1,      78271,      78272,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         90,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1425 : EV1420_001_BTL_unit08,       1277,         -1,          1,      78273,          0,      78274,      78275,      78276,      78277,          0,      78278,      78279,      78280,      78281,          1,      78282,      78283,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         91,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1426 : EV1420_001_BTL_unit09,       1277,         -1,          1,      78284,          0,      78285,      78286,      78287,      78288,          0,      78289,      78290,      78291,      78292,          1,      78293,      78294,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         92,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1427 : EV1420_001_BTL_unit10,       1277,         -1,          1,      78295,          0,      78296,      78297,      78298,      78299,          0,      78300,      78301,      78302,      78303,          1,      78304,      78305,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         85,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1428 : EV1420_001_BTL_unit11,       1277,         -1,          1,      78306,          0,      78307,      78308,      78309,      78310,          0,      78311,      78312,      78313,      78314,          1,      78315,      78316,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         86,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1429 : EV1420_001_BTL_unit12,       1277,         -1,          1,      78317,          0,      78318,      78319,      78320,      78321,          0,      78322,      78323,      78324,      78325,          1,      78326,      78327,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         87,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1430 : EV1420_001_BTL_unit13,       1277,         -1,          1,      78328,          0,      78329,      78330,      78331,      78332,          0,      78333,      78334,      78335,      78336,          1,      78337,      78338,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         95,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1431 : EV1420_001_BTL_unit14,       1277,         -1,          1,      78339,          0,      78340,      78341,      78342,      78343,          0,      78344,      78345,      78346,      78347,          1,      78348,      78349,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         96,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1432 : EV1420_001_BTL_unit15,       1277,         -1,          1,      78350,          0,      78351,      78352,      78353,      78354,          0,      78355,      78356,      78357,      78358,          1,      78359,      78360,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         97,        113,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          0, 
1433 : EV1420_001_BTL_unit16,       1277,         -1,          1,      78361,          0,      78362,      78363,      78364,      78365,          0,      78366,      78367,      78368,      78369,          1,      78370,      78371,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         99,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1434 : EV1420_001_BTL_unit17,       1277,         -1,          1,      78372,          0,      78373,      78374,      78375,      78376,          0,      78377,      78378,      78379,      78380,          1,      78381,      78382,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        100,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1435 : EV1420_001_BTL_unit18,       1277,         -1,          1,      78383,          0,      78384,      78385,      78386,      78387,          0,      78388,      78389,      78390,      78391,          1,      78392,      78393,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        101,        113,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
1436 : EV1420_001_BTL_unit19,       1277,         -1,          1,      78394,          0,      78395,      78396,      78397,      78398,          0,      78399,      78400,      78401,      78402,          1,      78403,      78404,         39,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        108,        113,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          0, 
1437 : EV1420_001_BTL_unit20,       1277,         -1,          1,      78405,          0,      78406,      78407,      78408,      78409,          0,      78410,      78411,      78412,      78413,          1,      78414,      78415,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        103,        113,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          0, 
1438 : EV1420_001_BTL_unit21,       1277,         -1,          1,      78416,          0,      78417,      78418,      78419,      78420,          0,      78421,      78422,      78423,      78424,          1,      78425,      78426,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        118,        113,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          0, 
1439 : EV1420_001_BTL_unit22,       1277,         -1,          1,      78427,          0,      78428,      78429,      78430,      78431,          0,      78432,      78433,      78434,      78435,          1,      78436,      78437,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        113,        113,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          0, 
