           km_,   km_namen,    km_help, km_primary_model, km_primary_material_id, km_primary_bind_effect_id, km_secondly_model, km_secondly_material_id, km_secondly_bind_effect_id,    km_icon,  km_sortid,   km_price,    km_sell, km_break_cost, km_no_sell, km_no_break, km_no_menu, km_ep_remnant, km_category, km_add_attribute, km_add_impress, km_internal_attr_fire, km_internal_attr_thunder, km_internal_attr_ice, km_internal_attr_acid, km_internal_attr_poison, km_internal_attr_dr_null0, km_internal_attr_dr_null1, km_internal_attr_dr_null2, km_internal_attr_dr_null3, km_internal_attr_dr_null4, km_internal_attr_dr_null5, km_internal_attr_dr_null6, km_internal_attr_dr_null7, km_internal_attr_dr_null8, km_internal_attr_dr_null9, km_internal_attr_control_flag18, km_set_status, km_reset_status, km_prg_num_new, km_lvup_type,      km_ct, km_ap_butsu,  km_ap_mgc, km_dp_butsu,  km_dp_mgc, km_eva_butsu, km_eva_mgc, km_cro_onrate, km_cro_scrate, km_crd_onrate, km_crd_scrate, km_critical_lv, km_exp_eq_style, km_exp_eq_category, km_exp_mgc_category, km_exp_item_category, km_exp_arts_skill, km_exp_technique, km_exp_power, km_exp_magic_skill, km_exp_item_skill, km_exp_master,   km_item1,    km_num1,   km_item2,    km_num2,   km_item3,    km_num3,   km_item4,    km_num4, km_eq_rank, km_eq_not_aim, km_eq_release_mep, km_eq_not_force_replace,  km_heikin,   km_butsu,     km_mgc, km_butsu_ac,  km_mgc_ac,      km_hp,      km_ap,     km_str,     km_mys,     km_spd,     km_unq, km_butsu_at,  km_mgc_at, 
1056 : shield_m_WMG020_battle,       1058,       1058,         71,          0,         -1,         -1,          0,         -1,         21,      31103,       4000,        200,        100,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,          6,          8,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044252,          2,    9044348,          1,    9044243,          1,         -1,          0,         10,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1057 : shield_m_WMG020_warriors,       1059,       1059,         71,          0,         -1,         -1,          0,         -1,         21,      31104,      12000,        600,        300,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,          8,         10,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044244,          1,    9044342,          1,    9044331,          2,         -1,          0,         26,          0,       3100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1058 : shield_m_WMG020_brave,       1060,       1060,         71,          0,         -1,         -1,          0,         -1,         21,      31105,      32000,       1600,        800,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,         10,         13,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044255,          1,    9044272,          1,    9044342,          1,         -1,          0,         32,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1059 : shield_m_WMG020_elite,       1061,       1061,         71,          0,         -1,         -1,          0,         -1,         21,      31106,      70000,       3500,       1750,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,         12,         15,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044247,          1,    9044296,          1,    9044259,          1,         -1,          0,         56,          0,       5600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1060 : shield_m_WMG020_champion,       1062,       1062,         71,          0,         -1,         -1,          0,         -1,         21,      31107,     147000,       7350,       3675,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         14,         18,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044241,          1,    9044262,          1,    9044259,          2,         -1,          0,         66,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1061 : shield_m_WMG020_warload,       1063,       1063,         71,          0,         18,         -1,          0,         -1,         21,      31108,     288000,      14400,       7200,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         20,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044241,          2,    9044262,          1,    9044257,          1,         -1,          0,         78,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1062 : shield_m_WMG020_divine,       1064,       1064,         71,          0,         17,         -1,          0,         -1,         21,      31109,     504000,      25200,      12600,          0,          0,          0,          0,        128,          0,        896,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         20,         25,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044242,          3,    9044270,          3,    9044257,          3,         -1,          0,        110,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1063 : shield_m_WMG020_dragon,       1065,       1065,         71,          1,         -1,         -1,          0,         -1,         21,      31110,     260000,      13000,       6500,          0,          0,          0,          0,        128,          0,        133,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         21,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044248,          1,    9044270,          1,    9044258,          2,         -1,          0,        100,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1064 : shield_m_WMG020_crystal,       1066,       1066,         71,          2,         -1,         -1,          0,         -1,         21,      31111,     418000,      20900,      10450,          0,          0,          0,          0,        128,          0,        138,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         18,         23,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044249,          1,    9044270,          2,    9044257,          2,         -1,          0,        100,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1065 : shield_m_WMG020_damascus,       1067,       1067,         71,          3,         -1,         -1,          0,         -1,         21,      31112,     546000,      27300,      13650,          0,          0,          0,          0,        128,          0,        518,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         22,         28,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044250,          1,    9044270,          3,    9044257,          3,         -1,          0,        120,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1066 : shield_m_WMG020_antique,       1068,       1068,         71,          2,         15,         -1,          0,         -1,         21,      31139,     390000,      19500,       9750,          0,          0,          0,          0,        128,          0,        840,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,         15,         19,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          3,    9044371,          2,    9044258,          2,         -1,          0,         79,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1067 : shield_m_WMG030_normal,       1069,       1069,         72,          0,         24,         -1,          0,         -1,         21,      31200,      63000,       3150,       1575,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,         10,         13,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          2,    9044333,          1,    9044259,          2,         -1,          0,        180,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1068 : shield_m_WMG030_quality,       1070,       1070,         72,          0,         24,         -1,          0,         -1,         21,      31201,     228000,      11400,       5700,          0,          0,          0,          0,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,         16,         20,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044248,          1,    9044344,          1,    9044257,          2,         -1,          0,        200,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1069 : shield_m_WMG030_fine,       1071,       1071,         72,          0,         24,         -1,          0,         -1,         21,      31202,     378000,      18900,       9450,          0,          0,          0,          0,        128,          0,        896,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         22,         28,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044250,          2,    9044344,          2,    9044257,          3,         -1,          0,        210,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1070 : shield_m_WMG030_fire,       1072,       1072,         72,          0,         24,         -1,          0,         -1,         21,      31213,     320000,      16000,       8000,          0,          0,          0,          0,        128,          0,        358,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         21,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          1,    9044344,          1,    9044258,          2,         -1,          0,        190,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1071 : shield_m_WMG030_thunder,       1073,       1073,         72,          0,         24,         -1,          0,         -1,         21,      31214,     320000,      16000,       8000,          0,          0,          0,          0,        128,          0,        363,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         21,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          1,    9044344,          1,    9044262,          1,         -1,          0,        190,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1072 : shield_m_WMG030_ice,       1074,       1074,         72,          0,         24,         -1,          0,         -1,         21,      31215,     320000,      16000,       8000,          0,          0,          0,          0,        128,          0,        368,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         21,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          1,    9044344,          1,    9044260,          2,         -1,          0,        190,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1073 : shield_m_WMG030_acid,       1075,       1075,         72,          0,         24,         -1,          0,         -1,         21,      31216,     320000,      16000,       8000,          0,          0,          0,          0,        128,          0,        373,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         21,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          1,    9044344,          1,    9044261,          2,         -1,          0,        190,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1074 : shield_m_WMG030_poison,       1076,       1076,         72,          0,         24,         -1,          0,         -1,         21,      31217,     320000,      16000,       8000,          0,          0,          0,          0,        128,          0,        378,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         21,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          1,    9044344,          1,    9044259,          2,         -1,          0,        190,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1075 : shield_m_WMG030_defense,       1077,       1077,         72,          0,         24,         -1,          0,         -1,         21,      31220,     552000,      27600,      13800,          0,          0,          0,          0,        128,          0,        135,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         30,         24,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044275,          3,    9044344,          3,    9044257,          3,         -1,          0,        220,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1076 : shield_m_WMG030_reflect,       1078,       1078,         72,          0,         24,         -1,          0,         -1,         21,      31221,     552000,      27600,      13800,          0,          0,          0,          0,        128,          0,        140,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         24,         30,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044275,          3,    9044344,          3,    9044257,          3,         -1,          0,        220,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1077 : shield_m_WMG030_antique,       1079,       1079,         72,          0,         24,         -1,          0,         -1,         21,      31239,     570000,      28500,      14250,          0,          0,          0,          0,        128,          0,        840,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,         16,         21,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044275,          2,    9044250,          3,         -1,          0,         -1,          0,        101,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1078 : shield_m_uniq_02,       1081,       1081,         71,          1,         -1,         -1,          0,         -1,         21,      31301,       8500,        425,        213,          0,          0,          0,          0,        128,          0,        131,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          3,          0,          0,          0,          0,          8,          8,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044252,          2,    9044264,          1,    9044263,          1,         -1,          0,         27,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1079 : shield_m_uniq_01,       1080,       1080,         70,          2,         17,         -1,          0,         -1,         21,      31300,      64500,       3225,       1613,          0,          0,          0,          0,        128,          0,        895,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         12,          6,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044267,          2,    9044245,          1,    9044332,          1,         -1,          0,         51,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1080 : shield_m_uniq_06,       1085,       1085,         71,          2,         -1,         -1,          0,         -1,         21,      31305,      46750,       2338,       1169,          0,          0,          0,          0,        128,          0,        838,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          2,          3,          0,          0,          0,          0,         12,         12,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044268,          2,    9044239,          1,    9044360,          1,         -1,          0,         68,          0,       5000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1081 : shield_m_uniq_05,       1084,       1084,         71,          1,         13,         -1,          0,         -1,         21,      31304,     108500,       5425,       2713,          0,          0,          0,          0,        128,          0,        893,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          1,          0,          0,          0,          0,          0,         20,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044269,          1,    9044262,          1,    9044261,          1,         -1,          0,         76,          0,       5600,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1082 : shield_m_uniq_04,       1083,       1083,         72,          0,         24,         -1,          0,         -1,         21,      31303,     140250,       7013,       3506,          0,          0,          0,          0,        128,          0,        333,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         20,          0,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044262,          1,    9044240,          1,    9044258,          2,         -1,          0,         79,          0,       6200,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1083 : shield_m_uniq_03,       1082,       1082,         70,          2,         18,         -1,          0,         -1,         21,      31302,     173250,       8663,       4331,          0,          0,          0,          0,        128,          0,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          3,          0,          0,          0,          0,         16,         16,          0,          0,         40,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044248,          1,    9044361,          1,    9044259,          2,         -1,          0,         83,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1084 : shield_l_WLG010_normal,       1086,       1086,         73,          0,         -1,         -1,          0,         -1,         21,      32000,        960,         48,         24,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,          4,          6,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044235,          1,    9044318,          2,    9044406,          1,         -1,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1085 : shield_l_WLG010_battle,       1087,       1087,         73,          0,         -1,         -1,          0,         -1,         21,      32003,       4800,        240,        120,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,          7,          9,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044252,          2,    9044365,          1,    9044263,          1,         -1,          0,         10,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1086 : shield_l_WLG010_warriors,       1088,       1088,         73,          0,         -1,         -1,          0,         -1,         21,      32004,      14400,        720,        360,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,          9,         12,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044244,          1,    9044359,          1,    9044341,          2,         -1,          0,         26,          0,       3100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1087 : shield_l_WLG010_brave,       1089,       1089,         73,          0,         -1,         -1,          0,         -1,         21,      32005,      38400,       1920,        960,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,         12,         15,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044255,          1,    9044272,          1,    9044359,          1,         -1,          0,         32,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1088 : shield_l_WLG010_elite,       1090,       1090,         73,          0,         -1,         -1,          0,         -1,         21,      32006,      84000,       4200,       2100,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,         14,         18,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044247,          1,    9044296,          1,    9044260,          1,         -1,          0,         56,          0,       5600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1089 : shield_l_WLG010_champion,       1091,       1091,         73,          0,         -1,         -1,          0,         -1,         21,      32007,     176400,       8820,       4410,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          4,          0,          0,          0,          0,         16,         21,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044241,          1,    9044262,          1,    9044260,          2,         -1,          0,         66,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1090 : shield_l_WLG010_warload,       1092,       1092,         73,          0,         18,         -1,          0,         -1,         21,      32008,     345600,      17280,       8640,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          4,          0,          0,          0,          0,         19,         24,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044241,          2,    9044262,          1,    9044257,          1,         -1,          0,         78,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1091 : shield_l_WLG010_divine,       1093,       1093,         73,          0,         17,         -1,          0,         -1,         21,      32009,     604800,      30240,      15120,          0,          0,          0,          0,        129,          0,        896,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          4,          0,          0,          0,          0,         24,         30,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044242,          3,    9044270,          3,    9044257,          3,         -1,          0,        110,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1092 : shield_l_WLG010_dragon,       1094,       1094,         73,          1,         -1,         -1,          0,         -1,         21,      32010,     312000,      15600,       7800,          0,          0,          0,          0,        129,          0,        133,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          4,          0,          0,          0,          0,         20,         26,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044248,          1,    9044270,          1,    9044259,          2,         -1,          0,        100,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1093 : shield_l_WLG010_crystal,       1095,       1095,         73,          2,         -1,         -1,          0,         -1,         21,      32011,     501600,      25080,      12540,          0,          0,          0,          0,        129,          0,        138,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          4,          0,          0,          0,          0,         21,         27,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044249,          1,    9044270,          2,    9044257,          2,         -1,          0,        100,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1094 : shield_l_WLG010_damascus,       1096,       1096,         73,          3,         -1,         -1,          0,         -1,         21,      32012,     655200,      32760,      16380,          0,          0,          0,          0,        129,          0,        518,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          0,          4,          0,          0,          0,          0,         26,         33,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044250,          1,    9044270,          3,    9044257,          3,         -1,          0,        120,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1095 : shield_l_WLG010_antique,       1097,       1097,         73,          2,         15,         -1,          0,         -1,         21,      32039,     468000,      23400,      11700,          0,          0,          0,          0,        129,          0,        840,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,         18,         23,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044270,          3,    9044371,          2,    9044259,          2,         -1,          0,         79,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1096 : shield_l_WLG030_normal,       1098,       1098,         75,          0,         -1,         -1,          0,         -1,         21,      32200,       2400,        120,         60,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,          6,          4,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044252,          2,    9044365,          1,    9044358,          2,         -1,          0,         19,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
1097 : shield_l_WLG030_battle,       1099,       1099,         75,          0,         -1,         -1,          0,         -1,         21,      32203,       9600,        480,        240,          0,          0,          0,          0,        129,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,      65535,          1,          4,          0,          0,          0,          0,          9,          7,          0,          0,         48,         80,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,    9044244,          1,    9044359,          1,    9044369,          2,         -1,          0,         30,          0,       3100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
